,Description,Assignment group
7621,type outage network circuit power please specify top cert site yes start schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc start additional diagnostic,47
1817,issue outlook vpn,0
4600,need configure email company iphone device,0
828,reset outlook password theecanse wdleell windows logon different since log company,0
5500,unable connect vpn,0
6915,ticket update inplant,0
1569,hello recent past face issue pricing condition getting change book order though override znr remain zlp example price write nett still show standard discount observe whenever sub delivery item create due non availability stock crop challan become difficult make change request look immediately assign sev ticket resolve await feedback,5
3156,unable connect wifi,0
7425,ron bell health saving acct deduction come paycheck yet elect zero please let know next pay run,49
6885,dsw relate event event summary filesystem near capacity occurrence count host connection information source hostname directionality internal device name company com log time utc vendor classification none priority window type warning username scwx processing sherlock rule sle inspector agent detail note default alert generate reach mswineventlog system srv disk need delete file,30
2255,type outage network circuit power please specify top cert site yes start schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc start additional diagnostic,47
1782,monitor defective new construction stock,21
7080,,9
286,vitalyst transfer crm installation,0
6464,engineering tool business client vpn issue,0
5305,job sid cold fail scheduler,39
859,tool plant work slowly please help immediately,18
5493,office upgrade,0
8304,hello team could please unlock account email cell phone user dnty vaghyliort,0
6601,name language browser microsoft internet explorer customer number telephone summary change login password management tool manger successful restart system outlook skype popping request log,0
8397,windows account lock,0
1915,team since yesterday laptop unable start outlook mail could use web assistance resolve appreciate well,0
385,unable log collaboration platform,0
296,need erp password reset,0
3411,setup new ewew,17
5624,matheywt rovfghesntine unable share global recruiting team site anyone please advise,8
5287,hello could please organise mwst tax abovementione rqfhiong zkwfqagb number kind,22
5547,job fail scheduler,47
6186,please usa outlook access email calendar staff iphone dept randd,0
4434,team please check frequent disconnection wifi connection erp skype disconnecting,31
506,detect dock station,23
7098,unable access drawing erp need net weaver,0
3918,need crm addin outlook perform daily job function move forward,0
2583,password reset alert,0
3009,outlook,0
1135,erp login issue password reset,0
1563,hello production order can not release cer active business carry please see attach screenshot solve aerp shipment do today,36
1178,system bankrd inlet temp alert hostname ambient lpa attach screen shoot windows event viewer log,4
5077,job fail scheduler,42
658,job fail scheduler,42
2802,try enter quote distributor company center fill information click quick nothing please advise cmp application eng,14
6540,unable log skype,0
2618,good afternoon unable force billing consigned material need inwarehouse tool end today please help,5
7712,type outage network circuit power please specify top cert site yes start schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc start additional diagnostic,47
453,problem erpgui,17
126,blank call gso,0
3682,source destination hostname android faecee port user name location sm status field sale yes dsw event log see datum relate event summary vid server response anubis sinkhole cookie set probable infect asset occurrence count host connection information geolocation lisbon prt mac address directionality incoming protocol tcp http code device isensor company com time utc action block vendor eventid cvss score priority version scwx processing sherlock rule sle inspector ontology type agent detail classification none accept impact flag vlan mpls label pad sensor src dst sport itype dport icode pro ttl tos iplen dgmlen seq xcb ack xef win tcplen option nop pcap security correlation dhcpd dhcpack via eth relay lease duration renew ascii packet hex cde fcf move tempo rarily nginx date tue sep gmt cont ent text tml close cook anbtr fdb befdba sid fdeb doma allinvest xsso help invest fdbbef dbafdeb,12
2531,change password expiration erp accept new password say name correct please fix,0
4086,please activate new cell phone,0
5892,job sid uacyltoe hxgaycze fail scheduler,39
5385,hello please urgent help truck already pick tool site delivery note urgently need create ration thank well,10
683,job fail scheduler,42
8224,hostname bobj app web prod engine exe service wrong number instance process expect find,6
3856,vsbhyrt unable open eng engineering tool able log password management reset password pls help,0
3711,name language browser microsoft internet explorer customer number telephone summary vpn allow access erp occurrence issue,0
8095,able enter customer detail engineering tool system,0
2303,unable login engineering tool,0
7515,user get unlicensed error office,0
88,unable open,0
5965,hello team please arrange hdmi cable meeting room connect projector since new laptop dependent unable via current always depend sometime might onsite case difficult lead ssl source logistic,11
4338,error message ask trust printer tell need download driver phone number,0
4679,computer measure device steli work zedlet,17
6731,job fail scheduler,47
3729,name language browser microsoft internet explorer customer number telephone summary password lock try erp newweaver portal,0
4624,please set field service collaboration platform page include meeting section explain,8
1445,outlook freeze crm update,0
7155,dear global helpdesk team want request access right rfvchzmp picjthkd user bagtylleg zsluxctw ptirhcwv erp logon sid system davidthd kindly approve provide stefdgthy warm,0
1659,fax purchase order directly unsuccessful since yesterday fail,22
5598,password work please reset username matghyuthdw,0
1322,job fail scheduler,47
3080,mobile device activation,0
763,sincerely,26
7392,windows account lockout,0
156,job bkbackup tool sql prod inc fail scheduler,47
7907,bex can not convert excel sheet,0
2891,two open travel expense enter erp please solve aerp sale manager earthwork european serve area north company infrastructure gmbh gesch ftsf hrer und www com,2
7938,source system name lpal user sbinuxja vtbegcho nicolmghyu location centralsamerirtca south amerirtca fieldsales vpn pcs sms status see field sale yes dsw event log content version fmxcnwpu tcwrdqboinition version sequence host integrity reputation setting portal list intrusion prevention signature power eraser definition revocation engine sonar extended file attribute signature symantec permit application risk log information download create programdnty file java jre bin javaw exe path user bbcc bddbf efa application type applicable category set malware heuristic virus size hash cfcabfafdfaffddfeefbfd algorithm sha first see know approximately day untrustworthy prevalence few level high sensitivity low detection score submit recommend incident overview ctoc receive alert vid locky ransomware communication outbound isensor device company com traffic source port tcp destine geffen nld occurred activity indicate likely infect http contain follow method data protocol post domain url comercial cadastra php agent mozilla compatible msie window length escalate via priority ticket phone call per default handling procedure would like handle incident differently future option question concern please let know either correspond delegate back call escalation relate event medium mail notification autoresolve explicit available reporting purpose sincerely securework technical detail new encrypt use aes encryption demand form digital currency decrypt distribute malicious attachment spam email recently massive phishe campaign microsoft word document ctu researcher observe example inwarehouse tool doc embed macro code use download payload filename seem construct eight random number potential victim receive attachment need open enable initiate run compromise drop copy temp directory affect profile set registry run key ensure persistence across reboot drop ladybi svchost also hkcu software create value list tip article provide reference section check key indicate presence security kasperskylab eset avast notify infection desktop background image change figure place instruction text bitmap display unconfirme speculation operator botnet distribute responsible bugat dridex banking trojan emanate distribute threat shiz shifu find conclusive various affiliate different time capability locate network resource encrypt location analyse block enumerate base attempt type qcow vmdk tar jpeg sqlite ppsm potm xlsx docm wallet dat xlsm xlsb dotm dotx docx djvu pptx pptm xltx xltm ppsx ppam docb potx lie msid sldm sldx tiff class sqlitedb summary occurrence count connection hostname destination geolocation directionality outgo full time utc action block vendor eventid cvss scwx processing sherlock rule sle inspector ontology detail classification none accept passive impact flag vlan mpls label pad sensor src dst sport itype dport icode pro ttl tos iplen dgmlen seq xadbff ack xbff win tcplen pcap uri ascii packet hex dbff cada stra keep aliv connecti sid alive mozi lla compati ble indow typ www urlenc ode ngth nom lpalandso winanddata andidioma ugu anda nti andp lugin itandidcx,12
7877,abende job scheduler,47
1535,wireless mouse miss desk need new replace,23
271,check status button see purchasing screen,0
3779,company collaboration platform can not access hub keep get message region controller amerirtcas email,8
7628,erp sid password reset,0
640,job bkbackup tool hostname prod inc fail scheduler,39
562,name chtrhysdrystal language browser microsoft internet explorer customer number telephone summary good morning please reset erp password,0
4514,call disconnected due vpn disconnection,0
1903,help change windows password use management tool connect user system teamviewer login manager password sync pssword company network caller confirm able issue resolve,0
7815,error access reporting engineering tool bill would need ticket gso please assign analytic technical team might account magda lock republish use,48
8168,audio work computer model dell precision name awyl,11
3536,team kindly please assist unable access sid system attach reference,0
7081,abende job scheduler,48
8182,einlasten bei plant germany,26
2815,ordnerfreigabe kvp,27
3382,unable connect,0
6859,call external user,0
7260,company login issue,0
3677,concerned unable access collaboration platform please resolve early,8
5315,job fail scheduler,39
6199,copi training workshop defective error message feed faulty service require,34
4366,"please unlock user ghjvreicj immediately erp extend account need tomorrow run tszvorba wtldpncx mail send wednesday nkjtoxwv wqtlzvxu subject block urgently importance high hello mr . hohgajnn want register I be sure correct one login datum enter unfortunately due forthcoming billing need activation many thank advance team management logo new final klein personal partner strixner gmbh message solely intend use addressee may contain information protect confidential exempt disclosure applicable law . distribution , distribution reproduction communication person recipient strictly prohibit base verse receive hen notify sender send company post select follow link view disclaimer alternate language",0
7094,try expense report thru ess work blank screen pop click oon link,0
5824,circuit outage company gbr united kingdom dmvpn rtr lookup locate go,47
8221,hostname usa plm web file cache production dsccache exe service since e,6
552,hello face issue sound skype meeting kindly needful good,0
4801,job fail scheduler,48
2213,node lhqsm locate usa since,4
4005,hallo last week setup collaboration platform start shatryung recognize owner make action today start tell connect server vpn connection establish hope help fix issue meet vriendelijke groet directeur company benelthyux nederland wim duisenbergplantsoen maastricht www com postbus,8
5742,office activation corporate phone,0
4399,light back one file server site blink part plant access network resource please help check local hostname lrrsm contact,4
2125,skype call join end bad blank multiple attempt,19
4808,well,0
2293,account lock,0
862,work system almost impossible processing order long possible moment currently,18
5302,vigrtgyne log laptop automatically shut try power shutdown also keep hour still moment user ravhdyui name aidl service tag dbdhz model latitude non vpro,11
6659,unable login erp sid,0
7464,unable access hostname,4
8130,puedo ingresar business client con contrase,0
4238,unable submit expense report,0
5554,job payroll fail scheduler,2
628,office excel powerpoint,25
4448,hello help team pls see ralf email last month write access issue possible participant round tool group work collaboration platform file even name change need update save respective idea handle,8
3292,job payroll fail scheduler,2
7310,consultant technology visit week use follow website provide access companygu wifi network see certificate error site chrome attach screenshot ignore log create couple account yesterday give account credential limit max day go today try edit change date everything look okay web app user able login even reset password one help either cumbersome type info new would great issue take care could create multiple day easy renew password,0
1279,please send local support site immediately analyze error complete delivery work germany,34
2688,hello face issue screen shoot please help resolve urgent complete stragiht away,10
1251,please see attach jpg file show message tool,18
1026,termination ckfobaxd wgnejyvt effective approve account yet disable,12
1465,unable install engineering tool,0
2826,critical lhqsm company com time ipc failure read net message write error system software cause connection abort abort backup statistic session queue hour complete disk agent fail abort total medium mbyte use agent error job scheduler,47
4596,skype sound work connect user system use teamviewer instal driver restart give uacyltoe hxgaycze call able hear clearly issue resolve,0
1094,job fail scheduler,42
3819,please release skv alicona,4
1064,please insert delivery note erp book,10
2118,unable log erp sid,0
3440,hello add new customer make engineering tool enter country city use button anymore,18
7000,sale org tab show field,0
7013,erp ecs track work resp computer crash immediately try get proof delivery up shipment del note header click stop try several time always,49
1607,knock vpn connection anything particular finish call,12
2700,log balance error,0
6978,hostname average sample disk free warning threshold total size,30
7448,collaboration platform issue,0
6762,job fail scheduler,47
7030,dsw incident overview see att singapore asa company com device generate least internal outbreak udp alert within minute traffic block awyl port several host indicate unauthorized reconnaissance scanning misconfiguration authorize discovery firewall escalate via high priority ticket phone call per default event handling procedure would like handle incident differently future see option question concern please let know either correspond delegate back soc call,40
514,nwfodmhc exurcwkm thadasgg fwd problem outlook iphone hello can not start,0
3889,user unable tologin vpn connect system use teamviewer help login company link issue resolve,0
2850,rakthyesh ramdntythanjesh crm transfer customer tracking able right click track work,32
5593,try sign purchase system website even load,0
6403,delivery mention invoicing try manual error billing type could determine block item relevant need resolve month end question please contact,5
7275,abende job scheduler,48
383,hello message process document erp workflow find none please advise,5
6894,user lock erp sid,0
1112,nwfodmhc exurcwkm email internet browser importance high hello please help keep disconnect access week,0
8092,monitor disk fail localhost outside expect limit true,47
6357,job jobuacyltoe hxgaycze fail scheduler,43
1677,account getting lock daily,12
6935,userid cccplant can not reset password please look screenshot,14
5388,hello help team update data outlook phone cell correct,0
5736,erp sid account lock,0
2593,alkuozfr bhqgdoiu zbpdhxvk nowxjztk aghynilthykurtyar gorlithy anthila wfgtyill hannathry nwfodmhc exurcwkm issue encounter get problem click shop link purchasing use internet explorer error message pop get list catalog send screen second shot sure widespread,22
7969,hostname average sample memory usage error threshold swap warning,4
4193,hello team can not connect vpn access try small window picture show shortly disconnect second picture say discconect check device manager could find device network adapter lauacyltoe hxgaycze driver please give advice xmgptwho fmcxikqz takheghshi afefsano,0
5420,help pls check item net value condition table rmb show view overview correct,5
6950,hello team please usa access imts folder server hostname,27
244,login issue verify user detail employee manager name check reset password advise check caller confirm able resolve,0
6685,warehouse tool quality issue high link utilization usa,31
186,nwfodmhc exurcwkm shipment notification dear pls help update customer email address,10
2589,erp password reset sid,0
2989,team create attach quote however show correctly see please fix soon possible,5
3386,try change log password system keep state old correct disagree try many time careful know type correctly,0
6500,request reset microsoft online service password,0
1095,unable load outlook ost file get corrupt name bthrob knrlepglper language browser microsoft internet explorer customer number telephone summary could please take control screen let know wrong email,0
5918,need access sid could please help saludos jorghge ramdntyfon abrurto tsantamaria supervisor credit finance,0
2268,problem vpn,17
997,good morning unable log erp normal review doyhtuug endlkglfeghart determine switchover server please correct,0
7660,extension handset gigaset speaker microphone scratch drop time,26
4703,name language browser microsoft internet explorer customer number telephone summary log vpn,0
6652,job fail scheduler,48
2402,dear crm extensions forecast button go instead potential spend someone please readd,32
7930,source system name lpawxsf user location indaituba sm status field sale yes dsw event log see incident overview see isensor company com device generate vid server response anubis sinkhole cookie set probable infect asset alert traffic block port tcp indicate host likely malware return indicate attempt visit domain sinkhole dns sinkhole server give false information order prevent use address resolution request possible indicator computer reach controller take law enforcement research organization part mitigation effort examine characteristic automate activity case administrator curious particular browse trigger signature repeat request however clear indication infection escalate via high priority ticket per default escalation policy would like handle incident differently future handling option question concern please let know either correspond delegate back soc call explicit notification medium phone call auto resolve directly portal event available reporting purpose sincerely securework technical detail hierarchical name resource connect internet private network primary purpose associate various name assign participate entity primarily use translate numerirtcal address locate service device distribute responsibility assign mapping designate authoritative responsible supported domain delegate authority subdomain also specify functionality database define protocol detailed specification data structure communication exchange suite incorrect client hole return non routable except real germanytially deny connection target use method compromise client easily find log another detecting host operation command control trojan sort connection seem somewhat benign ramdntyification certainly include leakage extent although operator unlikely personally identifiable capture become public knowledge lead reputational damage additionally feed victim beshryulist impede access certain service send email finally trojan connect multiple hostname even though other lead possibility remote code execution malicious party reference relate summary time destination hostname extra sherlockruleid cvss ctainstanceid irreceivedtime httpstatuscode inspectoreventid eventtypepriority dstassetofinterest globalproxycorrelationurl null foreseeinternalip logtimestamp foreseeconndirection incoming foreseeexternalip inlineaction ontologyid foreseesrcipgeo franhtyufurt main deu eventtypeid dsthostname vendoreventid vendorpriority tcpflags proto dstport action ileatdatacenter true foreseemaliciouscomment empty model evaluationmodel ngm httpcontenttype text html vendorversion refererproxycorrelationurl agentid srcport occurrence count detail classification none accept passive impact flag vlan mpls label pad sensor src dst sport itype dport icode pro ttl tos iplen dgmlen seq xfbe ack xcc win tcplen pcap http uri futureinterest org security ascii packet hex ccb move emporarily serv nginx date thu aug gmt content type transfe encode chun ke close tureinterest cookie feaeff defecbfe snkz,12
7521,please provide detail issue wifi,25
386,ticket update inplant,0
80,job fail scheduler,42
3235,dear please help reverse screen shoot well,2
5996,please reset password send new manager sbfhydeep kurtyar emp name useid saoltrmy xyuscbkn khty,0
5039,unable extend display external monitor,0
7933,client unable view screen tablet dock,23
3179,erp printing issue connection system production order interface app destination vendor connc okay error open rfc contact ext,0
753,trigger load fill rate recovery kba,48
4359,want software print document pdf,11
3253,lean tracker working,0
2483,external caller ask vtykrubi whsipqno email address,0
631,job payroll fail scheduler,2
7888,hostname tool tax interface app average sample total cpu error threshold,4
4158,original file create dir production hold wait,49
5937,unable launch outlook,0
147,name language browser microsoft internet explorer customer number summary good morning trouble get vpn assist,0
6210,job fail scheduler,47
8240,abende job scheduler sid cold,39
1126,name language browser microsoft internet explorer customer number telephone summary add skype meeting link new notice button long please advise get back,0
3740,outlook addin crm showing,0
4909,drive respond mount requests library,47
2733,error channelerror connectionreset job bkbackup tool report prod inc fail scheduler,47
5428,mobile device activation successfully do,0
5452,pick titanium tial material come result along also kcu grade field search drilling,18
1599,unable login collaboration platform,0
7188,hello need help connect erp possible receive error message mit freundlichen well,0
1666,job fail scheduler,47
6076,please reset telephony software password name full cajdwtgq breqgycv username pogredrty extension site israel,0
4347,need change password get synced system,0
4791,recibo gerado pdf est saindo com caractere,0
6034,could please confirm whether genuine mail,0
3970,please toner fen replace kind regard well,34
5181,need view attachment get error plug responding can not see without see know change make drawing part hold manufacturing,0
3945,access time recording network,17
2857,blank call,0
1238,network drive loading,4
2886,user usa plant unable access mii get error state recover webpage entire affect,33
7326,erp sid account unlock password reset,0
924,problem report pwrhmc company com report system machine type model serial number error description management console fsp bpa bpc failure detect last occur current status pmr detail,37
6458,hello log vpn server please reset password,0
6434,job sid arc fail scheduler,47
4687,dear team need cancel sto pls help reverse inwarehouse tool markhtye red thx rgds judthtihty zhuyhts company hardpoint apac wgq,2
